date,adjusted_close,volume,Chaikin A/D,ADX,ATR,CCI,EMA,MACD,MACD_Hist,MACD_Signal,OBV,ROC,RSI,SAR,SlowD,SlowK,MFI,ADOSC,WILLR,ULTOSC,BOP,symbol
2/2/2015,168.4856353,163106969,25426872651,19.9664,2.564,-63.3266,169.1383,-0.4924,-0.1907,-0.3017,14904092109,0.1438,47.9233,170.5923,32.9397,34.5723,40.671,37290928.17,-51.6667,50.8435,0.4484,SPY
2/3/2015,170.9221352,124212881,25550005420,19.4378,2.5555,76.6399,169.3082,-0.2855,0.013,-0.2985,15028304990,1.3758,53.7401,165.0979,35.8228,47.7006,48.1057,84823289.13,-16.9048,57.3854,0.8,SPY
2/4/2015,170.2712893,134306728,25494702650,18.7114,2.4844,73.7922,169.3999,-0.172,0.1012,-0.2732,14893998262,0.4826,52.0671,165.0979,50.2285,68.4127,55.7572,78960801.77,-26.1905,54.0801,0.0749,SPY
2/5/2015,171.9901899,97953181,25569608024,17.6317,2.4405,110.906,169.6466,0.056,0.2634,-0.2073,14991951443,0.0097,55.966,165.3489,67.0124,84.924,62.6701,93217784.77,-2.1327,60.6709,0.8235,SPY
2/6/2015,171.5145718,125672026,25512188908,16.5153,2.4044,99.7223,169.8245,0.1961,0.3227,-0.1266,14866279417,0.283,54.6416,165.7564,79.2967,84.5533,61.1061,72306124.33,-18.0171,63.9187,-0.4353,SPY
2/9/2015,170.7469074,87219016,25481952983,15.5283,2.3221,50.8928,169.9124,0.2423,0.2952,-0.0528,14779060401,-0.3991,52.4828,166.3299,84.4952,84.0084,55.6541,47557548.35,-27.8252,58.9746,-0.0933,SPY
2/10/2015,172.5659382,96164183,25553682005,14.8576,2.3046,91.7697,170.1651,0.4209,0.379,0.0419,14875224584,2.0075,56.8347,166.8574,83.9176,83.1912,55.0674,55932587.97,-4.5842,66.5058,0.3811,SPY
2/11/2015,172.6660683,91087785,25586293681,14.3705,2.2366,101.4156,170.4033,0.564,0.4177,0.1463,14966312369,3.3926,57.0678,167.3428,84.863,87.3894,52.9972,64650402.22,-5.4223,61.63,0.1975,SPY
2/12/2015,174.3265597,97545949,25677079019,14.5247,2.1996,137.6777,170.7769,0.8022,0.5247,0.2775,15063858318,3.4309,60.8439,167.9185,89.0118,96.4548,52.5041,91225715.61,-0.6289,61.4483,0.5099,SPY
2/13/2015,175.0441589,93670430,25760341624,14.9781,2.1068,144.8003,171.1833,1.0369,0.6075,0.4294,15157528748,5.1792,62.3837,168.6945,93.8868,97.816,57.7897,120296834.7,-0.5008,65.8857,0.6574,SPY
2/17/2015,175.3195168,76968199,25810812574,15.5724,2.0291,129.1978,171.5773,1.2309,0.6412,0.5897,15234496947,4.0561,62.9853,169.5905,97.7775,99.0616,64.1804,137312428.1,-1.6854,65.8956,0.582,SPY
2/18/2015,175.3362052,80652941,25874968323,16.1243,1.9366,113.7599,171.9353,1.3702,0.6244,0.7458,15315149888,2.5825,63.0238,170.5352,98.5469,98.763,72.4801,152203597.3,-1.5249,74.3996,0.5341,SPY
2/19/2015,175.2110425,91462491,25898221498,16.7167,1.8686,100.7316,172.2472,1.4538,0.5664,0.8874,15223687397,2.9011,62.4976,171.3287,98.5289,97.7622,76.0359,151857486.3,-3.5032,76.0789,0.4831,SPY
2/20/2015,176.2624089,140896392,26029363525,17.6274,1.8901,100.2565,172.6296,1.5865,0.5593,1.0272,15364583789,2.484,65.1316,172.0936,98.2088,98.1013,88.0427,179637677.9,-0.6682,80.2713,0.6769,SPY
2/23/2015,176.2373763,74411054,26103774579,18.473,1.8004,101.0466,172.9732,1.6705,0.5146,1.1559,15290172735,2.7536,65.0145,172.9424,98.0058,98.154,87.3478,198347848.1,-1.3667,81.9098,0.3699,SPY
2/24/2015,176.738027,72472263,26149280418,19.5943,1.7487,104.5128,173.3318,1.7571,0.481,1.2761,15362644998,3.5088,66.3186,173.6214,98.2134,98.3849,86.8997,202449516.9,-2.8103,79.9387,0.5349,SPY
2/25/2015,176.5878318,73061687,26134954597,20.7108,1.6845,98.3931,173.6419,1.793,0.4135,1.3795,15289583311,2.3306,65.5294,174.2848,97.5454,96.0974,86.3207,181164755,-7.5309,76.9371,-0.0294,SPY
2/26/2015,176.3792274,72697868,26162387755,21.273,1.6274,76.0937,173.9026,1.7841,0.3237,1.4604,15216885443,2.1505,64.3835,174.8472,95.832,93.0138,80.3033,164716561.2,-10.6173,75.7979,-0.1321,SPY
2/27/2015,175.7784466,108075972,26067545575,21.7526,1.5696,60.8986,174.0812,1.7088,0.1987,1.5101,15108809471,0.8329,61.0711,175.2971,92.1866,87.4486,71.4056,112836464.7,-19.5062,70.8393,-0.6122,SPY
3/2/2015,176.8882222,87491428,26145896108,22.4324,1.5409,86.6225,174.3486,1.7189,0.167,1.5519,15196300899,1.0535,64.6854,175.6571,89.773,88.8566,78.2502,106284643.4,-3.3069,74.951,0.903,SPY
3/3/2015,176.1622787,110325809,26152056432,22.4876,1.5482,51.7722,174.5213,1.6493,0.078,1.5714,15085975090,0.4807,60.7145,177.0968,87.6255,86.5714,69.8145,95902215.7,-17.4727,66.9906,-0.1777,SPY
3/4/2015,175.4196469,114497192,26224918282,21.6995,1.5604,-46.0453,174.6069,1.5167,-0.0437,1.5604,14971477898,0.0476,56.8684,177.0608,85.2627,80.36,61.566,106119791.4,-38.1404,64.0326,-0.1189,SPY
3/5/2015,175.6115689,76873000,26246766871,21.1591,1.5056,-26.6374,174.7025,1.4109,-0.1196,1.5305,15048350898,0.2286,57.6157,176.9561,77.1632,64.5583,60.9718,107604278.9,-50.7121,61.9004,-0.1684,SPY
